OrderID,DeliveryPartner,DeliveryDate,DeliveryStatus
6676,UPS,2023-06-09,Delivered
3544,DHL,2023-06-04,In Transit
2848,DHL,2023-06-10,Pending
3717,UPS,2023-06-05,In Transit
6822,USPS,2023-06-07,Delivered
8195,FedEx,2023-06-04,Delivered
6541,USPS,2023-06-09,Delivered
4569,FedEx,2023-06-08,Delivered
4092,FedEx,2023-06-09,Pending
5408,UPS,2023-06-07,Pending
6149,USPS,2023-06-09,Pending
8193,USPS,2023-06-04,Pending
2981,FedEx,2023-06-09,Pending
4578,DHL,2023-06-07,In Transit
1127,UPS,2023-06-07,Pending
3860,USPS,2023-06-07,In Transit
7426,FedEx,2023-06-04,Delivered
8633,FedEx,2023-06-07,In Transit
7581,UPS,2023-06-04,In Transit
1430,DHL,2023-06-08,Pending
3098,FedEx,2023-06-07,Pending
4227,DHL,2023-06-06,Pending
3374,UPS,2023-06-04,Delivered
9270,FedEx,2023-06-06,Pending
2580,UPS,2023-06-04,Pending
3643,FedEx,2023-06-08,Delivered
4968,FedEx,2023-06-07,Pending
1146,USPS,2023-06-08,In Transit
2669,DHL,2023-06-09,Pending
3731,DHL,2023-06-09,Pending
3716,USPS,2023-06-07,In Transit
7416,FedEx,2023-06-09,In Transit
9398,UPS,2023-06-06,In Transit
5690,UPS,2023-06-09,Pending
4219,DHL,2023-06-07,Delivered
6036,DHL,2023-06-08,Pending
3443,USPS,2023-06-06,Pending
8145,DHL,2023-06-08,In Transit
3383,FedEx,2023-06-10,Delivered
1877,USPS,2023-06-05,In Transit
6614,UPS,2023-06-10,In Transit
2642,USPS,2023-06-08,In Transit
6581,USPS,2023-06-04,Delivered
5644,UPS,2023-06-07,Pending
9971,DHL,2023-06-08,In Transit
9990,USPS,2023-06-04,Pending
9386,USPS,2023-06-07,Pending
2857,FedEx,2023-06-08,In Transit
7873,DHL,2023-06-07,In Transit
6092,UPS,2023-06-07,Delivered
8261,UPS,2023-06-08,In Transit
6943,DHL,2023-06-09,Pending
7123,DHL,2023-06-07,Delivered
5631,DHL,2023-06-04,In Transit
6532,FedEx,2023-06-06,Pending
6441,DHL,2023-06-09,Pending
1643,FedEx,2023-06-07,Delivered
2417,USPS,2023-06-07,In Transit
5089,UPS,2023-06-07,In Transit
2543,DHL,2023-06-09,Pending
9150,UPS,2023-06-05,In Transit
8914,FedEx,2023-06-06,In Transit
2768,DHL,2023-06-10,Delivered
5568,UPS,2023-06-09,Delivered
5614,USPS,2023-06-04,Delivered
6353,UPS,2023-06-10,Delivered
8787,USPS,2023-06-10,Pending
8939,USPS,2023-06-08,In Transit
5536,USPS,2023-06-04,Delivered
3820,FedEx,2023-06-07,Delivered
3288,FedEx,2023-06-06,Delivered
2286,DHL,2023-06-05,In Transit
5108,DHL,2023-06-08,Pending
1177,USPS,2023-06-09,Delivered
2904,FedEx,2023-06-08,Pending
3776,UPS,2023-06-09,Pending
4875,UPS,2023-06-07,Delivered
7178,UPS,2023-06-07,In Transit
9680,FedEx,2023-06-06,In Transit
9211,FedEx,2023-06-06,In Transit
2669,UPS,2023-06-05,In Transit
9517,USPS,2023-06-04,Pending
6510,DHL,2023-06-04,In Transit
3222,FedEx,2023-06-09,In Transit
5776,UPS,2023-06-10,In Transit
5025,UPS,2023-06-04,Pending
5161,UPS,2023-06-04,In Transit
7462,UPS,2023-06-04,Pending
1913,FedEx,2023-06-08,Pending
7391,DHL,2023-06-06,Delivered
1935,DHL,2023-06-10,Delivered
6505,FedEx,2023-06-06,Delivered
5396,DHL,2023-06-05,Delivered
1438,FedEx,2023-06-09,Pending
4639,DHL,2023-06-05,In Transit
6666,FedEx,2023-06-06,Delivered
6085,USPS,2023-06-10,In Transit
3677,DHL,2023-06-07,Delivered
4415,DHL,2023-06-10,Delivered
5384,FedEx,2023-06-05,Pending
3886,UPS,2023-06-04,Delivered
8124,USPS,2023-06-09,Pending
6127,FedEx,2023-06-10,In Transit
5925,DHL,2023-06-05,Delivered
5767,FedEx,2023-06-10,Delivered
6362,USPS,2023-06-06,Pending
5523,USPS,2023-06-10,Delivered
3269,FedEx,2023-06-10,Delivered
2157,DHL,2023-06-08,In Transit
7943,DHL,2023-06-05,Pending
3936,USPS,2023-06-04,Pending
5888,UPS,2023-06-07,Delivered
5447,FedEx,2023-06-08,Delivered
9134,FedEx,2023-06-06,In Transit
2886,USPS,2023-06-05,Delivered
1835,FedEx,2023-06-10,Pending
5217,UPS,2023-06-10,In Transit
5588,USPS,2023-06-07,Delivered
8703,UPS,2023-06-07,Pending
7486,UPS,2023-06-10,Pending
7086,UPS,2023-06-04,Delivered
7593,DHL,2023-06-10,Pending
5159,FedEx,2023-06-07,In Transit
9361,FedEx,2023-06-09,Delivered
9207,UPS,2023-06-05,In Transit
2459,FedEx,2023-06-07,In Transit
1951,FedEx,2023-06-08,In Transit
2706,FedEx,2023-06-06,Delivered
4940,FedEx,2023-06-08,Pending
3556,DHL,2023-06-08,In Transit
8901,DHL,2023-06-08,In Transit
6074,UPS,2023-06-10,Delivered
9235,DHL,2023-06-07,Pending
1147,USPS,2023-06-06,Pending
2872,UPS,2023-06-09,In Transit
9775,UPS,2023-06-10,Delivered
2823,UPS,2023-06-09,Delivered
3501,DHL,2023-06-10,Delivered
5277,UPS,2023-06-10,Pending
4617,DHL,2023-06-07,In Transit
9621,USPS,2023-06-10,In Transit
5663,FedEx,2023-06-10,Delivered
2177,UPS,2023-06-10,Pending
6242,USPS,2023-06-07,In Transit
7913,FedEx,2023-06-04,In Transit
8340,USPS,2023-06-04,Pending
8563,UPS,2023-06-04,Pending
1342,USPS,2023-06-04,In Transit
3202,USPS,2023-06-09,Pending
2754,USPS,2023-06-10,In Transit
4797,USPS,2023-06-06,Pending
9300,USPS,2023-06-10,Delivered
4899,UPS,2023-06-09,In Transit
1796,DHL,2023-06-08,Pending
8498,UPS,2023-06-10,Pending
8800,USPS,2023-06-06,In Transit
7384,DHL,2023-06-05,In Transit
4227,FedEx,2023-06-04,Delivered
6686,UPS,2023-06-07,Delivered
1212,UPS,2023-06-08,In Transit
2080,FedEx,2023-06-08,Pending
7681,USPS,2023-06-07,Pending
9713,UPS,2023-06-07,Pending
6582,FedEx,2023-06-05,Pending
2118,FedEx,2023-06-05,In Transit
7478,DHL,2023-06-07,Delivered
1885,FedEx,2023-06-07,Delivered
1470,USPS,2023-06-05,Pending
9738,FedEx,2023-06-09,Delivered
6699,DHL,2023-06-09,In Transit
3514,DHL,2023-06-08,Pending
2596,DHL,2023-06-08,In Transit
3134,USPS,2023-06-05,In Transit
8231,FedEx,2023-06-05,In Transit
5411,USPS,2023-06-07,Delivered
9141,DHL,2023-06-04,In Transit
7661,USPS,2023-06-06,Delivered
6517,UPS,2023-06-06,Delivered
6627,UPS,2023-06-06,Delivered
4798,USPS,2023-06-04,Pending
3055,UPS,2023-06-10,Pending
6331,DHL,2023-06-08,Delivered
9131,FedEx,2023-06-10,Pending
6316,FedEx,2023-06-09,Delivered
4822,DHL,2023-06-04,Pending
4346,USPS,2023-06-05,Delivered
8167,UPS,2023-06-09,Delivered
4063,FedEx,2023-06-07,In Transit
4270,FedEx,2023-06-10,Delivered
5843,DHL,2023-06-07,Delivered
1413,UPS,2023-06-08,Pending
3533,DHL,2023-06-05,Pending
4966,UPS,2023-06-10,In Transit
7577,FedEx,2023-06-08,Delivered
9841,UPS,2023-06-05,Delivered
8261,USPS,2023-06-05,In Transit
7757,USPS,2023-06-07,In Transit
2142,USPS,2023-06-09,In Transit
4349,DHL,2023-06-10,Delivered
4604,UPS,2023-06-06,In Transit
5397,DHL,2023-06-08,In Transit
9725,FedEx,2023-06-05,Delivered
7262,DHL,2023-06-09,Pending
8850,USPS,2023-06-04,Pending
4271,UPS,2023-06-06,Pending
8842,FedEx,2023-06-05,In Transit
1598,USPS,2023-06-05,Pending
5099,DHL,2023-06-07,In Transit
4628,UPS,2023-06-08,In Transit
1786,UPS,2023-06-08,Delivered
4033,DHL,2023-06-08,In Transit
2904,UPS,2023-06-10,Delivered
4435,DHL,2023-06-09,Delivered
9797,DHL,2023-06-08,Pending
5057,USPS,2023-06-09,In Transit
7484,FedEx,2023-06-05,Delivered
3314,UPS,2023-06-07,Delivered
7603,FedEx,2023-06-06,Delivered
7665,USPS,2023-06-06,Pending
3576,UPS,2023-06-05,Delivered
8002,DHL,2023-06-10,In Transit
7293,USPS,2023-06-07,Pending
2607,UPS,2023-06-09,Delivered
2430,FedEx,2023-06-04,Pending
2436,FedEx,2023-06-06,In Transit
3030,DHL,2023-06-10,Delivered
4160,FedEx,2023-06-06,Pending
7289,UPS,2023-06-05,In Transit
2535,DHL,2023-06-04,Pending
2942,USPS,2023-06-09,In Transit
5925,UPS,2023-06-08,In Transit
9655,DHL,2023-06-07,Pending
3981,DHL,2023-06-07,Pending
2579,FedEx,2023-06-06,Pending
5061,DHL,2023-06-05,In Transit
5928,USPS,2023-06-04,Pending
2036,USPS,2023-06-09,Delivered
7994,FedEx,2023-06-07,Pending
3939,USPS,2023-06-09,Pending
6443,UPS,2023-06-04,Delivered
8097,DHL,2023-06-08,Pending
9789,USPS,2023-06-10,Delivered
5794,UPS,2023-06-10,Pending
2302,UPS,2023-06-08,Delivered
5747,UPS,2023-06-07,Delivered
5373,UPS,2023-06-06,Pending
2724,DHL,2023-06-09,In Transit
6032,FedEx,2023-06-05,In Transit
4984,DHL,2023-06-07,Pending
1398,USPS,2023-06-04,Pending
7198,DHL,2023-06-05,Delivered
1287,DHL,2023-06-10,Delivered
5059,UPS,2023-06-06,In Transit
1907,FedEx,2023-06-04,Pending
2802,FedEx,2023-06-09,Pending
9683,USPS,2023-06-04,Pending
5578,UPS,2023-06-09,Delivered
6615,DHL,2023-06-08,In Transit
6404,UPS,2023-06-08,In Transit
7681,DHL,2023-06-06,Delivered
3717,USPS,2023-06-07,Pending
1109,USPS,2023-06-10,Delivered
3151,USPS,2023-06-09,In Transit
5899,USPS,2023-06-05,In Transit
6694,UPS,2023-06-08,Pending
3907,DHL,2023-06-05,Pending
8090,UPS,2023-06-05,Pending
3516,FedEx,2023-06-06,Delivered
5759,DHL,2023-06-10,Delivered
6826,DHL,2023-06-07,In Transit
6895,USPS,2023-06-05,In Transit
2679,UPS,2023-06-06,In Transit
2624,UPS,2023-06-06,In Transit
7145,FedEx,2023-06-09,Delivered
8471,FedEx,2023-06-08,Pending
5286,DHL,2023-06-05,Pending
6369,FedEx,2023-06-08,Pending
3830,USPS,2023-06-08,In Transit
9777,FedEx,2023-06-07,In Transit
6723,DHL,2023-06-07,Delivered
1754,USPS,2023-06-10,Pending
2565,DHL,2023-06-08,In Transit
8924,FedEx,2023-06-05,Pending
3357,UPS,2023-06-07,Delivered
4868,UPS,2023-06-09,Delivered
4813,DHL,2023-06-04,In Transit
2023,FedEx,2023-06-09,In Transit
2410,UPS,2023-06-09,In Transit
2363,USPS,2023-06-05,In Transit
7123,DHL,2023-06-07,Delivered
9310,UPS,2023-06-04,Pending
1312,DHL,2023-06-07,Delivered
6813,UPS,2023-06-07,Pending
2739,UPS,2023-06-07,Delivered
7097,UPS,2023-06-09,Delivered
2118,UPS,2023-06-08,Pending
1701,FedEx,2023-06-08,Pending
1454,UPS,2023-06-07,Pending
3164,UPS,2023-06-10,Delivered
5974,DHL,2023-06-06,In Transit
5088,USPS,2023-06-06,Pending
1474,USPS,2023-06-04,Delivered
6102,DHL,2023-06-06,In Transit
5100,FedEx,2023-06-05,Delivered
6776,DHL,2023-06-06,In Transit
8797,DHL,2023-06-04,In Transit
7131,USPS,2023-06-04,Delivered
2883,FedEx,2023-06-08,Pending
5310,USPS,2023-06-07,Delivered
6467,DHL,2023-06-09,Delivered
2304,USPS,2023-06-04,Delivered
2598,DHL,2023-06-04,Delivered
4084,FedEx,2023-06-07,Delivered
9840,USPS,2023-06-10,Pending
3126,UPS,2023-06-04,In Transit
1535,UPS,2023-06-08,Delivered
9504,USPS,2023-06-07,In Transit
6008,USPS,2023-06-10,Delivered
6837,DHL,2023-06-04,In Transit
1605,USPS,2023-06-09,Pending
5389,DHL,2023-06-05,In Transit
4710,USPS,2023-06-05,Delivered
6935,UPS,2023-06-05,In Transit
3411,DHL,2023-06-09,Delivered
8863,DHL,2023-06-08,Pending
9600,FedEx,2023-06-08,In Transit
2325,USPS,2023-06-10,Delivered
8689,DHL,2023-06-10,Delivered
2599,USPS,2023-06-08,Delivered
3610,DHL,2023-06-05,Pending
2412,FedEx,2023-06-05,Delivered
2177,DHL,2023-06-04,Delivered
6910,UPS,2023-06-08,Pending
6274,USPS,2023-06-04,Delivered
6582,DHL,2023-06-06,Delivered
1794,USPS,2023-06-09,Pending
7980,USPS,2023-06-06,Pending
4768,DHL,2023-06-07,Pending
4323,DHL,2023-06-04,Delivered
4266,FedEx,2023-06-10,Delivered
2901,USPS,2023-06-09,In Transit
1288,DHL,2023-06-09,Delivered
2791,UPS,2023-06-07,Delivered
7494,USPS,2023-06-07,In Transit
3587,USPS,2023-06-09,In Transit
6618,USPS,2023-06-10,Delivered
4261,USPS,2023-06-05,Pending
3083,USPS,2023-06-05,Delivered
7433,USPS,2023-06-09,In Transit
9857,USPS,2023-06-10,In Transit
3058,FedEx,2023-06-06,In Transit
4473,FedEx,2023-06-05,Pending
9200,FedEx,2023-06-06,Delivered
5383,USPS,2023-06-09,Delivered
4245,UPS,2023-06-09,In Transit
8699,UPS,2023-06-05,Delivered
3634,FedEx,2023-06-07,Delivered
7658,USPS,2023-06-04,Delivered
6312,UPS,2023-06-05,Delivered
8306,UPS,2023-06-08,Pending
7647,USPS,2023-06-08,Delivered
8293,UPS,2023-06-09,In Transit
1403,DHL,2023-06-07,In Transit
4512,UPS,2023-06-04,Delivered
1138,DHL,2023-06-08,Delivered
9055,DHL,2023-06-06,Delivered
6950,USPS,2023-06-10,In Transit
6716,USPS,2023-06-08,In Transit
1475,USPS,2023-06-06,Pending
7112,USPS,2023-06-07,Delivered
2669,FedEx,2023-06-07,Delivered
3168,UPS,2023-06-08,In Transit
9032,USPS,2023-06-05,Delivered
8668,UPS,2023-06-10,Pending
9853,USPS,2023-06-08,In Transit
1027,DHL,2023-06-05,Delivered
9153,DHL,2023-06-05,Pending
6167,FedEx,2023-06-05,Pending
7481,DHL,2023-06-08,In Transit
7989,FedEx,2023-06-05,Pending
1392,UPS,2023-06-06,In Transit
1116,UPS,2023-06-06,Delivered
7107,USPS,2023-06-05,Pending
3071,DHL,2023-06-10,Delivered
7435,FedEx,2023-06-06,Pending
3346,USPS,2023-06-10,Pending
6213,FedEx,2023-06-05,Delivered
8038,USPS,2023-06-04,Delivered
7916,USPS,2023-06-09,Delivered
2753,DHL,2023-06-08,Pending
5952,USPS,2023-06-04,In Transit
6152,UPS,2023-06-08,Delivered
1531,FedEx,2023-06-07,Pending
8264,UPS,2023-06-09,Delivered
1689,USPS,2023-06-07,In Transit
2355,DHL,2023-06-10,In Transit
5957,DHL,2023-06-09,Delivered
7718,DHL,2023-06-04,Pending
6159,UPS,2023-06-04,In Transit
5460,USPS,2023-06-04,Pending
7950,UPS,2023-06-10,Pending
1162,USPS,2023-06-05,In Transit
4087,FedEx,2023-06-10,Delivered
9391,FedEx,2023-06-04,Delivered
8518,USPS,2023-06-05,Delivered
5938,FedEx,2023-06-06,In Transit
8512,UPS,2023-06-05,In Transit
2153,UPS,2023-06-08,In Transit
9270,FedEx,2023-06-08,In Transit
9062,USPS,2023-06-05,Delivered
2194,DHL,2023-06-06,In Transit
9421,FedEx,2023-06-05,Delivered
4709,DHL,2023-06-08,Pending
5662,USPS,2023-06-09,Pending
6624,USPS,2023-06-04,Delivered
8522,DHL,2023-06-09,Pending
8231,DHL,2023-06-04,Delivered
1595,USPS,2023-06-05,In Transit
8619,DHL,2023-06-05,Delivered
7399,USPS,2023-06-07,Pending
5310,USPS,2023-06-08,In Transit
7828,UPS,2023-06-06,Delivered
9491,FedEx,2023-06-10,In Transit
6598,UPS,2023-06-10,In Transit
2519,DHL,2023-06-08,Pending
2160,USPS,2023-06-05,In Transit
5033,UPS,2023-06-07,Pending
2647,UPS,2023-06-09,Delivered
7379,FedEx,2023-06-09,Pending
6516,UPS,2023-06-05,Delivered
5788,UPS,2023-06-08,Pending
9086,UPS,2023-06-05,Delivered
9815,USPS,2023-06-10,In Transit
1623,USPS,2023-06-04,In Transit
6398,UPS,2023-06-07,Delivered
9205,USPS,2023-06-10,Delivered
2233,UPS,2023-06-05,Delivered
2802,DHL,2023-06-09,In Transit
7319,UPS,2023-06-05,In Transit
6088,FedEx,2023-06-09,Pending
8923,USPS,2023-06-10,Pending
5600,USPS,2023-06-06,Pending
4754,USPS,2023-06-04,Pending
3073,DHL,2023-06-04,In Transit
6733,UPS,2023-06-10,In Transit
1411,USPS,2023-06-08,Delivered
1217,USPS,2023-06-08,In Transit
3869,FedEx,2023-06-04,Pending
4543,FedEx,2023-06-06,In Transit
4346,UPS,2023-06-08,In Transit
1318,UPS,2023-06-08,In Transit
4878,USPS,2023-06-09,Delivered
4241,FedEx,2023-06-10,In Transit
9785,UPS,2023-06-06,Pending
7655,UPS,2023-06-05,Delivered
1263,UPS,2023-06-06,Pending
7387,DHL,2023-06-07,In Transit
9018,FedEx,2023-06-09,Delivered
2226,UPS,2023-06-07,Pending
3945,FedEx,2023-06-08,In Transit
1246,USPS,2023-06-04,Pending
5167,UPS,2023-06-07,Pending
8001,USPS,2023-06-06,Pending
5556,DHL,2023-06-07,In Transit
1873,USPS,2023-06-09,Delivered
3909,DHL,2023-06-09,In Transit
4277,UPS,2023-06-08,Pending
1263,FedEx,2023-06-04,Delivered
2003,FedEx,2023-06-04,Pending
8544,USPS,2023-06-10,Delivered
8187,DHL,2023-06-04,Delivered
4109,UPS,2023-06-08,Pending
3961,UPS,2023-06-05,In Transit
6281,USPS,2023-06-08,Delivered
1104,FedEx,2023-06-06,In Transit
4815,UPS,2023-06-08,Delivered
2992,USPS,2023-06-05,In Transit
2800,DHL,2023-06-08,In Transit
9790,FedEx,2023-06-07,Pending
2347,DHL,2023-06-05,In Transit
7662,UPS,2023-06-10,Delivered
7214,FedEx,2023-06-05,Pending
4799,FedEx,2023-06-04,In Transit
3550,UPS,2023-06-06,Pending
3445,USPS,2023-06-08,Delivered
4570,FedEx,2023-06-04,Pending
4785,USPS,2023-06-07,In Transit
5761,DHL,2023-06-08,Pending
7343,USPS,2023-06-10,Pending
6207,UPS,2023-06-10,In Transit
5282,USPS,2023-06-05,Delivered
2577,UPS,2023-06-06,Pending
6503,DHL,2023-06-09,Delivered
9501,FedEx,2023-06-09,Delivered
8212,DHL,2023-06-05,In Transit
5152,FedEx,2023-06-07,Pending
1265,DHL,2023-06-08,Pending
2449,UPS,2023-06-04,Delivered
2486,USPS,2023-06-08,Pending
3296,USPS,2023-06-04,Delivered
1163,UPS,2023-06-08,Delivered
2718,FedEx,2023-06-09,In Transit
4302,UPS,2023-06-10,In Transit
1728,UPS,2023-06-08,Delivered
1299,USPS,2023-06-04,In Transit
1080,USPS,2023-06-07,In Transit
8214,UPS,2023-06-06,Pending
1649,DHL,2023-06-10,Delivered
1342,DHL,2023-06-10,In Transit
3588,FedEx,2023-06-10,Delivered
1184,USPS,2023-06-07,In Transit
2761,USPS,2023-06-07,Pending
1239,FedEx,2023-06-04,Pending
5463,DHL,2023-06-04,Delivered
9867,FedEx,2023-06-06,Pending
4558,UPS,2023-06-07,In Transit
4425,UPS,2023-06-05,In Transit
6575,USPS,2023-06-08,Delivered
5079,DHL,2023-06-05,Pending
5604,DHL,2023-06-04,Delivered
6397,DHL,2023-06-10,Delivered
7393,FedEx,2023-06-07,Pending
4832,UPS,2023-06-06,Pending
5867,USPS,2023-06-08,In Transit
2606,USPS,2023-06-10,Pending
9679,USPS,2023-06-09,Delivered
8501,DHL,2023-06-08,In Transit
7216,DHL,2023-06-10,Delivered
2845,FedEx,2023-06-08,Pending
4435,DHL,2023-06-08,Pending
8561,USPS,2023-06-05,In Transit
2773,UPS,2023-06-10,In Transit
2929,DHL,2023-06-04,In Transit
6186,USPS,2023-06-07,In Transit
2671,USPS,2023-06-06,Pending
3484,USPS,2023-06-05,Delivered
2096,UPS,2023-06-05,Delivered
3907,DHL,2023-06-04,Pending
2275,USPS,2023-06-10,Delivered
6792,FedEx,2023-06-05,Delivered
6996,DHL,2023-06-08,Delivered
5414,USPS,2023-06-09,In Transit
4969,FedEx,2023-06-09,Pending
9578,UPS,2023-06-05,In Transit
2773,FedEx,2023-06-06,In Transit
8574,FedEx,2023-06-09,Delivered
5423,USPS,2023-06-10,In Transit
5515,DHL,2023-06-09,Pending
3963,FedEx,2023-06-08,In Transit
8966,UPS,2023-06-04,In Transit
4959,FedEx,2023-06-04,Pending
9289,USPS,2023-06-10,Delivered
4719,FedEx,2023-06-04,Pending
5414,UPS,2023-06-05,Pending
5780,DHL,2023-06-06,Delivered
1386,USPS,2023-06-06,In Transit
2495,USPS,2023-06-08,Pending
7588,FedEx,2023-06-04,Delivered
4997,DHL,2023-06-09,Delivered
7122,USPS,2023-06-04,In Transit
3129,USPS,2023-06-06,Delivered
1169,UPS,2023-06-09,In Transit
4913,FedEx,2023-06-07,Delivered
8504,USPS,2023-06-06,Delivered
8391,DHL,2023-06-09,In Transit
5507,UPS,2023-06-05,Pending
8173,DHL,2023-06-06,Delivered
9864,DHL,2023-06-10,In Transit
1989,DHL,2023-06-09,Delivered
5657,USPS,2023-06-05,In Transit
1971,UPS,2023-06-07,Delivered
7087,FedEx,2023-06-08,Pending
4584,UPS,2023-06-08,Delivered
4079,DHL,2023-06-08,In Transit
9469,USPS,2023-06-09,Pending
8823,FedEx,2023-06-06,Pending
4900,DHL,2023-06-06,Delivered
9814,DHL,2023-06-08,Pending
1074,UPS,2023-06-10,Pending
7028,DHL,2023-06-07,Pending
6575,FedEx,2023-06-07,Pending
1754,USPS,2023-06-07,In Transit
7285,UPS,2023-06-08,Delivered
7314,DHL,2023-06-06,Pending
3056,USPS,2023-06-07,In Transit
2921,USPS,2023-06-07,Pending
3103,USPS,2023-06-05,Pending
6004,DHL,2023-06-10,Pending
6047,UPS,2023-06-08,Delivered
5448,FedEx,2023-06-05,Pending
2416,FedEx,2023-06-04,In Transit
1862,DHL,2023-06-08,Pending
3100,FedEx,2023-06-07,Delivered
6552,UPS,2023-06-10,Delivered
8827,USPS,2023-06-10,Delivered
7809,USPS,2023-06-04,Pending
2300,USPS,2023-06-08,In Transit
5301,UPS,2023-06-05,In Transit
3269,UPS,2023-06-04,Pending
6514,USPS,2023-06-08,Pending
8535,DHL,2023-06-09,In Transit
5860,FedEx,2023-06-08,Delivered
7912,USPS,2023-06-07,In Transit
2352,USPS,2023-06-05,Pending
9334,DHL,2023-06-04,Pending
5184,FedEx,2023-06-09,In Transit
5192,DHL,2023-06-09,Delivered
8684,DHL,2023-06-08,Pending
6788,DHL,2023-06-04,Delivered
3654,UPS,2023-06-07,Pending
6360,FedEx,2023-06-07,Pending
8194,USPS,2023-06-07,In Transit
3729,UPS,2023-06-07,In Transit
8557,FedEx,2023-06-04,Delivered
1021,USPS,2023-06-08,Pending
7533,USPS,2023-06-08,Delivered
8865,FedEx,2023-06-06,Delivered
7130,DHL,2023-06-07,Delivered
3032,UPS,2023-06-09,Delivered
6832,FedEx,2023-06-05,Delivered
4773,UPS,2023-06-05,Pending
9010,USPS,2023-06-07,Pending
4890,FedEx,2023-06-07,Pending
2629,FedEx,2023-06-04,Delivered
1734,USPS,2023-06-09,In Transit
9612,USPS,2023-06-10,In Transit
4779,DHL,2023-06-05,Pending
6013,USPS,2023-06-10,In Transit
1021,UPS,2023-06-05,In Transit
7969,UPS,2023-06-05,Pending
5291,DHL,2023-06-10,In Transit
4893,FedEx,2023-06-06,In Transit
5022,USPS,2023-06-07,Delivered
2563,FedEx,2023-06-05,Delivered
9163,USPS,2023-06-10,In Transit
6843,UPS,2023-06-06,Pending
1702,DHL,2023-06-06,In Transit
